event_all,year
"January 18 – Incoming Alabama governor George Wallace calls for ""segregation now, segregation tomorrow, segregation forever"" in his inaugural address.",1963
"April 3–May 10 – The Birmingham campaign, organized by the Southern Christian Leadership Conference (SCLC) and the Alabama Christian Movement for Human Rights challenges city leaders and business owners in Birmingham, Alabama, with daily mass demonstrations.",1963
"April – Mary Lucille Hamilton, Field Secretary for the Congress of Racial Equality, refuses to answer a judge in Gadsden, Alabama, until she is addressed by the honorific ""Miss"". It was the custom of the time to address white people by honorifics and people of color by their first names. Hamilton is jailed for contempt of court and refuses to pay bail. The case Hamilton v. Alabama is filed by the NAACP. It was appealed to the U.S. Supreme Court, which ruled in 1964 that courts must address persons of color with the same courtesy extended to whites.",1963
"April 7 – Ministers John Thomas Porter, Nelson H. Smith and A. D. King lead a group of 2,000 marchers to protest the jailing of movement leaders in Birmingham.",1963
"April 12 – Dr. King is arrested in Birmingham for ""parading without a permit"".",1963
April 16 – Dr. King's Letter from Birmingham Jail is completed.,1963
"April 23 – CORE activist William L. Moore is murdered in Gadsden, Alabama.",1963
"May 2–4 – Birmingham's juvenile court is inundated with African-American children and teenagers arrested after James Bevel launches his ""D-Day"" youth march. The actions spans three days to become the Birmingham Children's Crusade.[56]",1963
"May 9–10 – After images of fire hoses and police dogs turned on protesters are televised, the Children's Crusade lays the groundwork for the terms of a negotiated truce on Thursday, May 9 puts an end to mass demonstrations in return for rolling back oppressive segregation laws and practices. Dr. King and Reverend Fred Shuttlesworth announce the settlement terms on Friday, May 10, only after King holds out to orchestrate the release of thousands of jailed demonstrators with bail money from Harry Belafonte and Robert Kennedy.[57]",1963
"May 11–12 – Double bombing in Birmingham, probably conducted by the KKK in cooperation with local police, precipitates rioting, police retaliation, intervention of state troopers, and finally mobilization of federal troops.",1963
"May 13 – In United States of America and Interstate Commerce Commission v. the City of Jackson, Mississippi et al., the United States Court of Appeals Fifth Circuit rules the city's attempt to circumvent laws desegregating interstate transportation facilities by posting sidewalk signs outside Greyhound, Trailways and Illinois Central terminals reading ""Waiting Room for White Only — By Order Police Department"" and ""Waiting Room for Colored Only – By Order Police Department"" to be unlawful.[58]",1963
May 24 – A group of Black leaders (assembled by James Baldwin) meets with Attorney General Robert F. Kennedy to discuss race relations.,1963
May 29 – Violence escalates at NAACP picket of Philadelphia construction site.[59],1963
May 30 – Police attack Florida A&M anti-segregation demonstrators with tear gas; arrest 257.[60],1963
"June 9 – Fannie Lou Hamer is among several SNCC workers badly beaten by police in the Winona, Mississippi, jail after their bus stops there.",1963
"June 11 – ""The Stand in the Schoolhouse Door"": Alabama Governor George Wallace stands in front of a schoolhouse door at the University of Alabama in an attempt to stop desegregation by the enrollment of two black students, Vivian Malone and James Hood. Wallace only stands aside after being confronted by federal marshals, Deputy Attorney General Nicholas Katzenbach, and the Alabama National Guard. Later in life he apologizes for his opposition to racial integration then.",1963
"June 11 – President Kennedy makes his historic civil rights address, promising a bill to Congress the next week. About civil rights for ""Negroes"", in his speech he asks for ""the kind of equality of treatment which we would want for ourselves.""",1963
"June 12 – NAACP field secretary Medgar Evers is assassinated in Jackson, Mississippi. (His murderer is convicted in 1994.)[61]",1963
"Summer – 80,000 blacks quickly register to vote in Mississippi by a test project to show their desire to participate.",1963
"June 19 – President Kennedy sends Congress (H. Doc. 124, 88th Cong., 1st session) his proposed Civil Rights Act.[62] White leaders in business and philanthropy gather at the Carlyle Hotel to raise initial funds for the Council on United Civil Rights Leadership",1963
"August 28 – Gwynn Oak Amusement Park in Northwest Baltimore, County, Maryland is desegregated.",1963
August 28 – March on Washington for Jobs and Freedom is held. King gives his I Have a Dream speech.[63],1963
"September 10 – Birmingham, Alabama City Schools are integrated by National Guardsmen under orders from President Kennedy.",1963
"September 15 – 16th Street Baptist Church bombing in Birmingham kills four young girls. That same day, in response to the killings, James Bevel and Diane Nash begin the Alabama Project, which will later grow into the Selma Voting Rights Movement.",1963
September 19 - Iota Phi Theta fraternity was founded at Morgan State College (now Morgan State University),1963
"November 10 – Malcolm X delivers ""Message to the Grass Roots"" speech, calling for unity against the white power structure and criticizing the March on Washington.",1963
"November 22 – President Kennedy is assassinated. The new president, Lyndon B. Johnson, decides that accomplishing Kennedy's legislative agenda is his best strategy, which he pursues.[64]",1963
"All year – The Alabama Voting Rights Project continues organizing as Bevel, Nash, and James Orange work without the support of SCLC.",1964
January 23 – Twenty-fourth Amendment abolishes the poll tax for Federal elections.,1964
"Summer – Mississippi Freedom Summer – voter registration in the state. Create the Mississippi Freedom Democratic Party to elect an alternative slate of delegates for the national convention, as blacks are still officially disfranchised.",1964
April 13 – Sidney Poitier wins the Academy Award for Best Actor for role in Lilies of the Field.,1964
"June 21 – Murders of Chaney, Goodman, and Schwerner, three civil rights workers disappear, later to be found murdered.",1964
"June 28 – Organization of Afro-American Unity is founded by Malcolm X, lasts until his death.",1964
"July 2 – Civil Rights Act of 1964[65] signed, banning discrimination based on ""race, color, religion, sex or national origin"" in employment practices and public accommodations.[64]",1964
"August – Congress passes the Economic Opportunity Act which, among other things, provides federal funds for legal representation of Native Americans in both civil and criminal suits. This allows the ACLU and the American Bar Association to represent Native Americans in cases that later win them additional civil rights.",1964
August – The Mississippi Freedom Democratic Party delegates challenge the seating of all-white Mississippi representatives at the Democratic national convention.,1964
"December 10 – Martin Luther King Jr. is awarded the Nobel Peace Prize, the youngest person so honored.[66]",1964
"December 14 – In Heart of Atlanta Motel v. United States, the U.S. Supreme Court upholds the Civil Rights Act of 1964.[65]",1964
"February 18 – A peaceful protest march in Marion, Alabama leads to Jimmie Lee Jackson being shot by Alabama state trooper James Bonard Fowler. Jackson dies on February 26, and Fowler is indicted for his murder in 2007.",1965
"February 21 – Malcolm X is assassinated in Manhattan, New York, probably by three members of the Nation of Islam.",1965
"March 7 – Bloody Sunday: Civil rights workers in Selma, Alabama, begin the Selma to Montgomery march but are forcibly stopped by a massive Alabama State trooper and police blockade as they cross the Edmund Pettus Bridge. Many marchers are injured. This march, initiated and organized by James Bevel, becomes the visual symbol of the Selma Voting Rights Movement.",1965
"March 15 – President Lyndon Johnson uses the phrase ""We Shall Overcome"" in a speech before Congress on the voting rights bill.[67]",1965
"March 25 – After the completion of the Selma to Montgomery March a white volunteer Viola Liuzzo is shot and killed by Ku Klux Klan members in Alabama, one of whom was an FBI informant.",1965
"June 2 – Black deputy sheriff Oneal Moore is murdered in Varnado, Louisiana.",1965
July 2 – Equal Employment Opportunity Commission opens.,1965
"August 6 – Voting Rights Act of 1965 was signed by President Johnson. It eliminated literacy tests, poll tax, and other subjective voter tests that were widely responsible for the disfranchisement of African Americans in the Southern States and provided Federal oversight of voter registration in states and individual voting districts where such discriminatory tests were used.[67]",1965
"August 11–15 – Following the accusations of mistreatment and police brutality by the Los Angeles Police Department towards the city's African-American community, Watts riots erupt in South Central Los Angeles which lasted over five days. Over 34 were killed, 1,032 injured, 3,438 arrested, and cost over $40 million in property damage in the Watts riots.",1965
September – Raylawni Branch and Gwendolyn Elaine Armstrong become the first African-American students to attend the University of Southern Mississippi.,1965
"September 15 – Bill Cosby co-stars in I Spy, becoming the first black person to appear in a starring role on American television.",1965
September 24 – President Johnson signs Executive Order 11246 requiring Equal Employment Opportunity by federal contractors.,1965
"January 10 – NAACP local chapter president Vernon Dahmer is injured by a bomb in Hattiesburg, Mississippi. He dies the next day.",1966
"June 5 – James Meredith begins a solitary March Against Fear from Memphis, Tennessee to Jackson, Mississippi. Shortly after starting, he is shot with birdshot and injured. Civil rights leaders and organizations rally and continue the march leading to, on June 16, Stokely Carmichael first using the slogan Black power in a speech.",1966
"Summer – The Chicago Open Housing Movement, led by King, Bevel,[68][69] and Al Raby, includes a large rally, marches, and demands to Mayor Richard J. Daley and the City of Chicago which are discussed in a movement-ending Summit Conference.",1966
"September – Nichelle Nichols is cast as a female black officer on television's Star Trek. She briefly considers leaving the role, but is encouraged by Dr. King to continue as an example for their community.",1966
"October – Black Panther Party founded by Huey P. Newton and Bobby Seale in Oakland, California.",1966
November – Edward Brooke is elected to the U.S. Senate from Massachusetts. He is the first black senator since 1881.,1966
January 9 – Julian Bond is seated in the Georgia House of Representatives by order of the U.S. Supreme Court after his election.,1967
"April 4 – King delivers his ""Beyond Vietnam"" speech, calling for defeat of ""the giant triplets of racism, materialism, and militarism"".",1967
"June 12 – In Loving v. Virginia, the U.S. Supreme Court rules that prohibiting interracial marriage is unconstitutional.",1967
June 13 – Thurgood Marshall is the first African American appointed to the U.S. Supreme Court.,1967
"July 23–27 – The Detroit riot erupts in Detroit, Michigan, for five days following a raid by the Detroit Police Department on an unlicensed club which celebrated the returning Vietnam Veteran hosted by mostly African Americans. More than 43 (33 were black and ten white) were killed, 467 injured, 7,231 arrested, and 2,509 stores looted or burned during the riot. It was one of the deadliest and most destructive riots in United States history, lasting five days and surpassing the violence and property destruction of Detroit's 1943 race riot.",1967
"August 2 – The film In the Heat of the Night is released, starring Sidney Poitier.",1967
"November 17 – Philadelphia Student School Board Demonstration, 26 demands peacefully issued by students, but event became a police riot.",1967
"December 11 – The film Guess Who's Coming to Dinner is released, also with Sidney Poitier.",1967
"In the trial of accused killers in the murders of Chaney, Goodman, and Schwerner, the jury convicts 7 of 18 accused men. Conspirator Edgar Ray Killen is later convicted in 2005.",1967
The film The Great White Hope starring James Earl Jones is released; it is based on the experience of heavyweight Jack Johnson.,1967
The book Death at an Early Age: The Destruction of the Hearts and Minds of Negro Children in the Boston Public Schools is published.,1967
"February 1 – Two Memphis sanitation workers are killed in the line of duty, exacerbating labor tensions.",1968
February 8 – The Orangeburg massacre occurs during university protest in South Carolina.,1968
February 12 – First day of the (wildcat) Memphis sanitation strike,1968
"March – While filming a prime time television special, Petula Clark touches Harry Belafonte's arm during a duet. Chrysler Corporation, the show's sponsor, insists the moment be deleted, but Clark stands firm, destroys all other takes of the song, and delivers the completed program to NBC with the touch intact. The show is broadcast on April 8, 1968.[70]",1968
"April 3 – King returns to Memphis; delivers ""Mountaintop"" speech.",1968
"April 4 – Assassination of Martin Luther King Jr. in Memphis, Tennessee.",1968
"April 4–8 and one in May 1968 – In response to the killing of Dr. King, over 150 cities experience rioting.",1968
"April 11 – Civil Rights Act of 1968 is signed. The Fair Housing Act is Title VIII of this Civil Rights Act – it bans discrimination in the sale, rental, and financing of housing. The law is passed following a series of contentious open housing campaigns throughout the urban North. The most significant of these campaigns were the Chicago Open Housing Movement of 1966 and organized events in Milwaukee during 1967–68. In both cities, angry white mobs attacked nonviolent protesters.[71][72]",1968
"May 12 – Poor People's Campaign marches on Washington, DC.",1968
"June 6 – Senator Robert F. Kennedy, a Civil Rights advocate, is assassinated after winning the California presidential primary. His appeal to minorities helped him secure the victory.",1968
"September 17 – Diahann Carroll stars in the title role in Julia, as the first African-American actress to star in her own television series where she did not play a domestic worker.",1968
October 3 – The play The Great White Hope opens; it runs for 546 performances and later becomes a film.,1968
"October – Tommie Smith and John Carlos raise their fists to symbolize black power and unity after winning the gold and bronze medals, respectively, at the 1968 Summer Olympic Games.",1968
"November 22 – First interracial kiss on American television, between Nichelle Nichols and William Shatner on Star Trek.",1968
"In Powe v. Miles, a federal court holds that the portions of private colleges that are funded by public money are subject to the Civil Rights Act.",1968
Shirley Chisholm becomes the first African-American woman elected to Congress.,1968
"January 8–18 – Student protesters at Brandeis University take over Ford and Sydeman Halls, demanding creation of an Afro-American Department. This is approved by the University on April 24.",1969
February 13 – National Guard with teargas and riot sticks crush a pro-black student demonstration at University of Wisconsin.,1969
"February 16 – After 3 days of clashes between police and Duke University students, the school agrees to establish a Black Studies program.",1969
February 23 – UNC Food Worker Strike begins when workers abandon their positions in Lenoir Hall protesting racial injustice,1969
"April 3–4 – National Guard called into Chicago, and Memphis placed on curfew on anniversary of MLK's assassination.",1969
"April 19 – Armed African-American students protesting discrimination take over Willard Straight Hall, the student union building at Cornell University. They end the seizure the following day after the University accedes to their demands, including an Afro-American studies program.",1969
April 25–28 – Activist students takeover Merrill House at Colgate University demanding Afro-American studies programs.,1969
May 8 – City College of New York closed following a two-week-long campus takeover demanding Afro-American and Puerto-Rican studies; riots among students break out when the school tries to reopen.,1969
"June – The second of two US federal appeals court decisions confirms members of the public hold legal standing to participate in broadcast station license hearings, and under the Fairness Doctrine finds the record of segregationist TV station WLBT beyond repair. The FCC is ordered to open proceedings for a new licensee.[73]",1969
"September 1–2 – Race rioting in Hartford, CT and Camden, NJ.",1969
"October 29 – The U.S. Supreme Court in Alexander v. Holmes County Board of Education orders immediate desegregation of public schools, signaling the end of the ""all deliberate speed"" doctrine established in Brown II.",1969
"December – Fred Hampton, chairman of the Illinois chapter of the Black Panther Party, is shot and killed while asleep in bed during a police raid on his home.",1969
United Citizens Party is formed in South Carolina when Democratic Party refuses to nominate African-American candidates.,1969
W. E. B. Du Bois Institute for African and African-American Research founded at Harvard University.,1969
The Revised Philadelphia Plan is instituted by the Department of Labor.,1969
The Congressional Black Caucus is formed.,1969
January 19 – G. Harrold Carswell's nomination to the U.S. Supreme Court is rejected following protests from the NAACP and feminists.,1970
"April 23 – Black Panther Marshall ""Eddie"" Conway arrested in Baltimore, MD.",1970
"May 27 – The film Watermelon Man is released, directed by Melvin Van Peebles and starring Godfrey Cambridge. The film is a comedy about a bigoted white man who wakes up one morning to discover that his skin pigment has changed to black.",1970
August 7 – Marin County courthouse incident.,1970
August 14 – Hoover adds Angela Davis to FBI Most Wanted list.,1970
October 13 – Angela Davis captured in New York City.,1970
First blaxploitation films released.,1970
"April 20 – The U.S. Supreme Court, in Swann v. Charlotte-Mecklenburg Board of Education, upholds desegregation busing of students to achieve integration.",1971
April 27 – FBI officially ends COINTELPRO,1971
June – Control of segregationist TV station WLBT given to a bi-racial foundation.,1971
June 4 – Angela Davis acquitted of all charges.,1971
August 21 – George Jackson shot to death in San Quentin Prison.,1971
Ernest J. Gaines's Reconstruction-era novel The Autobiography of Miss Jane Pittman is published.,1971
January 25 – Shirley Chisholm becomes the first major-party African-American candidate for President of the United States and the first woman to run for the Democratic presidential nomination.,1972
"November 16 – In Baton Rouge, two Southern University students are killed by white sheriff deputies during a school protest over lack of funding from the state. The university's Smith-Brown Memorial Union is named as a memorial to them.",1972
"November 16 – The infamous Tuskegee syphilis experiment ends. Begun in 1932, the U.S. Public Health Service's 40-year experiment on 399 black men in the late stages of syphilis has been described as an experiment that ""used human beings as laboratory animals in a long and inefficient study of how long it takes syphilis to kill someone.""",1972
"May 8 – Nelson Rockefeller signs the Rockefeller Drug Laws for New York state with draconian indeterminate sentences for drug possession, as well as sale.",1973
July 31 – FBI ends Ghetto Informant Program,1973
"Combahee River Collective, a Black feminist group, is established in Boston, out of New York's National Black Feminist Organization.",1973
"July 25 – In Milliken v. Bradley, the U.S. Supreme Court in a 5–4 decision holds that outlying districts could only be forced into a desegregation busing plan if there was a pattern of violation on their part. This decision reinforces the trend of white flight.",1974
"Salsa Soul Sisters, Third World Wimmin Inc Collective, the first ""out"" organization for lesbians, womanists and women of color formed in New York City.",1974
"April 30 – In the pilot episode of Starsky and Hutch, Richard Ward plays an African-American supervisor of white American employees for the first time on TV.",1975
February – Black History Month is founded by Professor Carter Woodson's Association for the Study of Afro-American Life and History.,1976
The novel Roots: The Saga of an American Family by Alex Haley is published.,1976
"Combahee River Collective, a Black feminist group, publishes the Combahee River Collective Statement.",1977
"President Jimmy Carter appoints Andrew Young to serve as Ambassador to the United Nations, the first African American to serve in the position.",1977
June 28 – Regents of the University of California v. Bakke bars racial quota systems in college admissions but affirms the constitutionality of affirmative action programs giving equal access to minorities.,1978
United Steelworkers of America v. Weber is a case regarding affirmative action in which the U.S. Supreme Court holds that the Civil Rights Act of 1964 did not bar employers from favoring women and minorities.,1979
November 2 – Assata Shakur escapes from prison.,1979
December 9 – Mumia Abu-Jamal arrested.,1981
"Charles Fuller writes A Soldier's Play, which is later made into the film A Soldier's Story.",1982
"November 30 – Michael Jackson releases Thriller, which becomes the best-selling album of all time.",1982
May 24 – The U.S. Supreme Court rules that Bob Jones University did not qualify as either a tax-exempt or a charitable organization due to its racially discriminatory practices.[74],1983
August 30 – Guion Bluford becomes the first African-American to go into space.,1983
"November 2 – President Ronald Reagan signs a bill creating a federal holiday to honor Martin Luther King, Jr, fifteen years after his death.[75]",1983
Alice Walker receives the Pulitzer Prize for her novel The Color Purple.,1983
"September 13 – The film A Soldier's Story is released, dealing with racism in the U.S. military.",1984
"The Cosby Show begins, and is regarded as one of the defining television shows of the decade.[46]",1984
"First contract for complete privatization of a prison is awarded to Corrections Corporation of America, beginning a new era of racially disproportionate mass incarceration.",1984
May 13 – Bombing of MOVE house in Philadelphia.,1985
"January 20 – Established by legislation in 1983, Martin Luther King Jr. Day is first celebrated as a national holiday.",1986
October 27 – Anti-Drug Abuse Act of 1986 establishes 100:1 sentencing disparity between crack and powder cocaine,1986
"The Public Broadcasting Service's six-part documentary Eyes on the Prize is first shown, covering the years 1954–1965. In 1990 it is added to by the eight-part Eyes on the Prize II covering the years 1965–1985.",1987
Dr. Benjamin Carson became the first person in history to separate conjoined twins that were joined at the head.[76],1987
Civil Rights Restoration Act of 1988.,1988
"December 9 – The film Mississippi Burning is released, regarding the 1964 murders of Chaney, Goodman, and Schwerner.",1988
"February 10 – Ron Brown is elected chairman of the Democratic National Committee, becoming the first African American to lead a major United States political party.",1989
October 1 – Colin Powell becomes Chairman of the Joint Chiefs of Staff.,1989
December 15 – The film Glory is released: it features African-American Civil War soldiers.,1989
"January 13 – Douglas Wilder becomes the first elected African-American governor as he takes office in Richmond, Virginia.",1990
March 3 – Four white police officers are videotaped beating African-American Rodney King in Los Angeles.,1991
October 15 – Senate confirms the nomination of Clarence Thomas to the U.S. Supreme Court.,1991
November 21 – Civil Rights Act of 1991 enacted.,1991
"Henry Louis Gates, Jr. becomes Harvard University's Director of the W. E. B. Du Bois Institute for African and African American Research.",1991
April 29 – The 1992 Los Angeles riots erupt after the officers accused of beating Rodney King are acquitted.,1992
September 12 – Mae Carol Jemison becomes the first African-American woman to travel in space when she goes into orbit aboard the Space Shuttle Endeavour.,1992
November 3 – Carol Moseley Braun becomes the first African-American woman to be elected to the United States Senate.,1992
November 18 – Director Spike Lee's film Malcolm X is released. [3],1992
March 29 – Cornel West's text Race Matters is published.,1994
June 30 – In Miller v. Johnson the U.S. Supreme Court rules that gerrymandering based on race is unconstitutional.,1995
"October 16 – Million Man March in Washington, D.C., co-initiated by Louis Farrakhan and James Bevel.",1995
16 May – President Bill Clinton apologizes to victims of the Tuskegee syphilis experiment,1997
"July 9 – Director Spike Lee releases his documentary 4 Little Girls, about the 1963 16th Street Baptist Church bombing.",1997
October 25 – Million Woman March in Philadelphia.,1997
"June 7 – James Byrd, Jr. is brutally murdered by white supremacists in Jasper, Texas. The scene is reminiscent of earlier lynchings. In response, Byrd's family create the James Byrd Foundation for Racial Healing.",1998
"October 23 – The film American History X is released, powerfully highlighting the problems of urban racism.",1998
Franklin Raines becomes the first black CEO of a fortune 500 company.,1999
"February 4 – Amadou Diallo shooting by New York Police (precursor to Daniels, et al. v. the City of New York)",1999
"May 3 – Bob Jones University, a fundamentalist South Carolina private institution, ends its ban on interracial dating.[77]",2000
January 20 – Colin Powell becomes Secretary of State.,2001
Cynthia McKinney introduces a proposed Martin Luther King Jr. Records Collection Act.,2002
"June 23 – The U.S. Supreme Court in Grutter v. Bollinger upholds the University of Michigan Law School's admission policy. However, in the simultaneously heard Gratz v. Bollinger the university is required to change a policy.",2003
"June 21 – Edgar Ray Killen is convicted of participating in the murders of Chaney, Goodman, and Schwerner.",2005
October 15 – The Millions More Movement holds a march in Washington D.C.,2005
"October 25 – Rosa Parks dies at age 92. Her solitary action spearheaded the Montgomery bus boycott in 1955. Her body lies in state in the Capitol Rotunda in Washington, D.C. before interment.",2005
March 26 – Capitol Hill police fail to recognize Cynthia McKinney as a member of Congress.,2006
"May 10 – Alabama state trooper James Bonard Fowler is indicted for the murder of Jimmie Lee Jackson on February 18, 1965.",2007
June 28 – Parents Involved in Community Schools v. Seattle School District No. 1 decided along with Meredith v. Jefferson County Board of Education prohibits assigning students to public schools solely for the purpose of achieving racial integration and declines to recognize racial balancing as a compelling state interest.,2007
December 10 – U.S. Supreme Court rules 7–2 in Kimbrough v. United States that judges may deviate from federal sentencing guidelines for crack cocaine.,2007
June 3 – Barack Obama receives enough delegates by the end of state primaries to be the presumptive Democratic Party of the United States nominee.[78],2008
July 12 – Cynthia McKinney accepts the Green Party nomination in the Presidential race.,2008
"July 30 – United States Congress apologizes for slavery and ""Jim Crow"".",2008
"August 28 – At the 2008 Democratic National Convention, in a stadium filled with supporters, Barack Obama accepts the Democratic nomination for President of the United States.",2008
"November 4 – Barack Obama elected 44th President of the United States of America, opening his victory speech with, ""If there is anyone out there who still doubts that America is a place where all things are possible; who still wonders if the dream of our founders is alive in our time; who still questions the power of our democracy, tonight is your answer.""[79]",2008
"January 20 – Barack Obama sworn in and offered Sherrod a new position as the 44th President of the United States, the first African-American to become president.",2009
January 30 – Former Maryland Lt. Governor Michael Steele becomes the first African-American Chairman of the Republican National Committee.,2009
The U.S. Postal Service issues a commemorative six-stamp set portraying twelve civil rights pioneers.,2009
October 6 – Judge Keith Bardwell refuses to officiate an interracial marriage in Louisiana.,2009
October 9 – Barack Obama is awarded the Nobel Peace Prize.,2009
"March 14 – Disney officially crowns its first African-American Disney Princess, Tiana.",2010
July 19 – Shirley Sherrod first is pressured to resign from the U.S. Department of Agriculture and immediately thereafter receives its apology after she is inaccurately accused of being racist towards white Americans.,2010
August 3 – Fair Sentencing Act reducing sentencing disparity between crack and powder cocaine to an 18:1 ratio.,2010
"January 14 – Michael Steele, the first African-American Chairman of the RNC lost his bid for re-election.",2011
"August 22 – The Martin Luther King Jr. Memorial on the National Mall in Washington, D.C. opens to the public, and is officially dedicated on October 16.",2011
"November 19 – Killing of Kenneth Chamberlain, Sr.",2011
"February 26 – Shooting of Trayvon Martin by George Zimmerman in Sanford, Florida.",2012
January 20 – Barack Obama is sworn in for his second term as president.,2013
"March 9 – New York police officers shoot 16-year-old Kimani Gray, triggering weeks of protests in Brooklyn",2013
May 9 – Malcolm Shabazz killed in Mexico.,2013
"May 2 – FBI promotes Assata Shakur to list of ""most wanted terrorists"".",2013
June 24 – State of Florida v. George Zimmerman begins.,2013
June 25 – The U.S. Supreme Court overturns part of the 1965 Voting Rights Act in Shelby County v. Holder.,2013
"July 13 – George Zimmerman acquitted, provoking nationwide protests. The Black Lives Matter movement is created by Alicia Garza, Patrisse Cullors, and Opal Tometi, in response to the ongoing racial profiling of and police brutality against young black men.",2013
"August 9 – Shooting of Michael Brown by Police Officer Darren Wilson in Ferguson, Missouri is followed by demonstrations and protests which include the term ""Hands up, don't shoot"". Demonstrations focused on the incident, using the ""Hands up"" expression, are held across the U.S. and overseas.",2014
"July 17 – Eric Garner died in Staten Island, New York City, after a police officer put him in a chokehold for 15 seconds.",2014
"June 17 – Nine African Americans are killed in the Charleston Church Shooting at Emanuel African Methodist Episcopal Church in downtown Charleston, S.C.",2015
"July 13 –  Sandra Bland dies in jail, days after being pulled over for a traffic stop in Texas.[80]",2015
"In the U.S. Supreme Court case Texas Dept. of Housing and Community Affairs v. Inclusive Communities Project, Inc., 576 U.S. ___ (2015),  the Court held that Congress specifically intended to include disparate impact claims in the Fair Housing Act, but that such claims require a plaintiff to prove it is the defendant's policies that cause a disparity.[81] The Fair Housing Act prohibits discrimination based on race.[82]",2015
"November 1 – Michael Bruce Curry becomes the first African-American Presiding Bishop of the Episcopal Church (United States), having been elected by an overwhelming margin on the first ballot of the 78th General Convention the preceding June.",2015
"September 14, 2016 – The National Museum of African American History opens its doors for the first time, becoming the 19th museum of the Smithsonian Institution.",2016
March 13 – Shooting of Breonna Taylor,2020
"May 25 – The murder of George Floyd leads to a cascade of protests with mottos such as I can't breathe and Defund the police, and the mass of removals of Confederate monuments and renaming of slave-trade memorials around the world.",2020
"May 25 – Central Park birdwatching incident, followed by Black Birders Week",2020
June 12 – Killing of Rayshard Brooks,2020
August 23 – Shooting of Jacob Blake,2020
"January 20 –  Kamala Harris sworn in as Vice President of the United States, the first African-American and Asian-American vice president as well as the first woman vice president.",2021
